	mass D						
t	x	y	vx	vy	ax	ay	
1.468133E0	2.945032E-1	-1.424388E-1	1.388288E-1	-2.722412E-1	-2.550512E0	-1.004703E0
1.484817E0	2.965708E-1	-1.469642E-1	9.864243E-2	-2.819340E-1	-2.237461E0	1.317709E0
1.501500E0	2.977946E-1	-1.518460E-1	6.085863E-2	-2.391103E-1	-3.073795E0	4.988642E0
1.518183E0	2.986015E-1	-1.549425E-1	2.654118E-3	-1.095339E-1	-3.448082E0	6.302293E0
1.534867E0	2.978831E-1	-1.555008E-1	-6.266695E-2	-1.707396E-2	-1.011707E0	3.407287E0
1.551550E0	2.965105E-1	-1.555122E-1	-3.668809E-2	-1.860963E-3	9.148417E-1	4.449753E-1
1.568233E0	2.966590E-1	-1.555629E-1	-1.316338E-2	-4.670345E-3	-1.497960E0	-1.571940E-2
1.584917E0	2.960713E-1	-1.556681E-1	-9.145394E-2	-3.136783E-3	-7.931219E0	6.126291E-1
1.601600E0	2.936075E-1	-1.556675E-1	-2.728355E-1	1.479953E-2	-8.503755E0	2.055088E0
1.618283E0	2.869677E-1	-1.551742E-1	-4.023053E-1	6.424771E-2	-2.007703E0	1.087895E0
1.634967E0	2.801839E-1	-1.535238E-1	-3.336098E-1	6.390111E-2	6.405011E0	-3.251514E0
1.651650E0	2.758362E-1	-1.530421E-1	-1.788002E-1	-4.819583E-2	7.797140E0	-4.310388E0
1.668333E0	2.742179E-1	-1.551320E-1	-6.506650E-2	-1.004798E-1	4.307960E0	-1.863796E-1
1.685017E0	2.736652E-1	-1.563948E-1	-3.705820E-2	-4.124376E-2	1.892010E0	2.903491E0
1.701700E0	2.729814E-1	-1.565081E-1	-1.179108E-2	1.514446E-3	1.426033E0	1.604985E0
1.718383E0	2.732717E-1	-1.563442E-1	1.917298E-2	9.769742E-3	6.437058E-1	2.027330E-1
1.735067E0	2.736211E-1	-1.561821E-1	7.887518E-3	7.406409E-3	-1.389574E0	-5.643137E-2
1.751750E0	2.735349E-1	-1.560971E-1	-2.792461E-2	6.967510E-3	-2.181516E0	2.453115E-2
1.768433E0	2.726894E-1	-1.559497E-1	-6.718193E-2	9.057838E-3	-1.410850E0	7.146143E-2
1.785117E0	2.712933E-1	-1.557949E-1	-7.736595E-2	9.163829E-3	-1.586278E-1	-7.048611E-2
1.801800E0	2.701079E-1	-1.556439E-1	-6.865481E-2	6.942990E-3	3.439454E-1	-1.575801E-1
1.818483E0	2.690025E-1	-1.555632E-1	-6.612700E-2	3.509675E-3	4.203594E-1	-1.639527E-1
1.835167E0	2.679015E-1	-1.555268E-1	-5.631534E-2	1.493070E-3	1.746606E-1	-1.146220E-1
1.851850E0	2.671234E-1	-1.555134E-1	-5.618853E-2	-1.819275E-4	3.203555E-1	-1.061300E-1
1.868533E0	2.660267E-1	-1.555328E-1	-5.173799E-2	-2.097865E-3	-2.863075E-1	7.123933E-2
